"DateTime","Players","Flags","Twitch Viewers"
"2015-07-17 00:00:00",,,5611
"2015-07-18 00:00:00",,,54433
"2015-07-19 00:00:00",,,56852
"2015-07-20 00:00:00",,,31
"2015-07-21 00:00:00",,,160
"2015-07-22 00:00:00",,,170
"2015-07-23 00:00:00",,,93
"2015-07-24 00:00:00",,,117
"2015-07-25 00:00:00",,,179
"2015-07-26 00:00:00",,,2880
"2015-07-27 00:00:00",,,150
"2015-07-28 00:00:00",,,78
"2015-07-29 00:00:00",,,123
"2015-07-30 00:00:00",,,88
"2015-07-31 00:00:00",,,70
"2015-08-01 00:00:00",,,91
"2015-08-02 00:00:00",,,2235
"2015-08-03 00:00:00",,,78
"2015-08-04 00:00:00",,,80
"2015-08-05 00:00:00",,,68
"2015-08-06 00:00:00",,,1297
"2015-08-07 00:00:00",,,1201
"2015-08-08 00:00:00",,,2100
"2015-08-09 00:00:00",,,3427
"2015-08-10 00:00:00",,,77
"2015-08-11 00:00:00",,,121
"2015-08-12 00:00:00",,,96
"2015-08-13 00:00:00",,,93
"2015-08-14 00:00:00",,,96
"2015-08-15 00:00:00",,,125
"2015-08-16 00:00:00",,,3550
"2015-08-17 00:00:00",,,204
"2015-08-18 00:00:00",,,69
"2015-08-19 00:00:00",,,67
"2015-08-20 00:00:00",,,87
"2015-08-21 00:00:00",,,80
"2015-08-22 00:00:00",,,86
"2015-08-23 00:00:00",,,3798
"2015-08-24 00:00:00",,,93
"2015-08-25 00:00:00",,,78
"2015-08-26 00:00:00",,,60
"2015-08-27 00:00:00",,,66
"2015-08-28 00:00:00",,,95
"2015-08-29 00:00:00",,,36
"2015-08-30 00:00:00",,,4529
"2015-08-31 00:00:00",,,0
"2015-09-01 00:00:00",,,44
"2015-09-02 00:00:00",,,0
"2015-09-03 00:00:00",,,0
"2015-09-04 00:00:00",,,70
"2015-09-05 00:00:00",,,0
"2015-09-06 00:00:00",,,6622
"2015-09-07 00:00:00",,,6
"2015-09-08 00:00:00",,,71
"2015-09-09 00:00:00",,,0
"2015-09-10 00:00:00",,,0
"2015-09-11 00:00:00",,,0
"2015-09-12 00:00:00",,,42
"2015-09-13 00:00:00",,,0
"2015-09-14 00:00:00",,,12
"2015-09-15 00:00:00",,,1
"2015-09-16 00:00:00",,,77
"2015-09-17 00:00:00",,,0
"2015-09-18 00:00:00",,,50
"2015-09-19 00:00:00",,,1
"2015-09-20 00:00:00",,,58
"2015-09-21 00:00:00",,,25
"2015-09-22 00:00:00",,,96
"2015-09-23 00:00:00",,,0
"2015-09-24 00:00:00",,,0
"2015-09-25 00:00:00",,,0
"2015-09-26 00:00:00",,,50
"2015-09-27 00:00:00",,,0
"2015-09-28 00:00:00",,,2
"2015-09-29 00:00:00",,,0
"2015-09-30 00:00:00",,,0
"2015-10-01 00:00:00",,,83
"2015-10-02 00:00:00",,,15
"2015-10-03 00:00:00",,,4352
"2015-10-04 00:00:00",,,4450
"2015-10-05 00:00:00",,,0
"2015-10-06 00:00:00",,,0
"2015-10-07 00:00:00",,,107
"2015-10-08 00:00:00",,,98
"2015-10-09 00:00:00",,,1349
"2015-10-10 00:00:00",,,312
"2015-10-11 00:00:00",,,0
"2015-10-12 00:00:00",,,0
"2015-10-13 00:00:00",,,0
"2015-10-14 00:00:00",,,33
"2015-10-15 00:00:00",,,26
"2015-10-16 00:00:00",,,346
"2015-10-17 00:00:00",,,497
"2015-10-18 00:00:00",,,1943
"2015-10-19 00:00:00",,,1714
"2015-10-20 00:00:00",,,604
"2015-10-21 00:00:00",,,2188
"2015-10-22 00:00:00",,,2061
"2015-10-23 00:00:00",,,3019
"2015-10-24 00:00:00",,,2375
"2015-10-25 00:00:00",,,4662
"2015-10-26 00:00:00",,,2212
"2015-10-27 00:00:00",,,316
"2015-10-28 00:00:00",,,248
"2015-10-29 00:00:00",,,868
"2015-10-30 00:00:00",,,470
"2015-10-31 00:00:00",,,410
"2015-11-01 00:00:00",,,2865
"2015-11-02 00:00:00",,,414
"2015-11-03 00:00:00",,,323
"2015-11-04 00:00:00",,,714
"2015-11-05 00:00:00",,,566
"2015-11-06 00:00:00",,,420
"2015-11-07 00:00:00",,,735
"2015-11-08 00:00:00",,,3906
"2015-11-09 00:00:00",,,0
"2015-11-10 00:00:00",,,403
"2015-11-11 00:00:00",,,334
"2015-11-12 00:00:00",,,325
"2015-11-13 00:00:00",,,318
"2015-11-14 00:00:00",,,959
"2015-11-15 00:00:00",,,3032
"2015-11-16 00:00:00",,,472
"2015-11-17 00:00:00",,,340
