"DateTime","Players","Players Trend","Twitch Viewers"
"2021-05-22 23:00:00",19151,18870.30555555556,40926
"2021-05-22 23:10:00",18756,18863.42278439154,40649
"2021-05-22 23:20:00",18329,18856.64675650353,42822
"2021-05-22 23:30:00",17923,18849.845176091272,43453
"2021-05-22 23:40:00",17406,18842.480792548504,41151
"2021-05-22 23:50:00",17026,18835.886594742067,39783
"2021-05-23 00:00:00",16583,18829.54828042328,38339
"2021-05-23 00:10:00",16199,18824.907310956794,41447
"2021-05-23 00:20:00",15705,18822.144951499118,41754
"2021-05-23 00:30:00",15354,18819.624367559525,38045
"2021-05-23 00:40:00",15161,18816.065345919513,39522
"2021-05-23 00:50:00",14829,18810.765239197535,38057
"2021-05-23 01:00:00",14587,18805.444692460318,37508
"2021-05-23 01:10:00",14387,18799.238976088123,39160
"2021-05-23 01:20:00",14156,18792.144116512347,39829
"2021-05-23 01:30:00",13963,18785.409536210318,40607
"2021-05-23 01:40:00",13934,18778.70964311651,40634
"2021-05-23 01:50:00",13903,18771.33493854718,38469
"2021-05-23 02:00:00",13774,18762.972235275694,36486
"2021-05-23 02:10:00",13774,18754.557415674608,35830
"2021-05-23 02:20:00",13750,18744.565310846563,35407
"2021-05-23 02:30:00",13775,18733.20461121633,31213
"2021-05-23 02:40:00",13830,18720.79458714343,30252
"2021-05-23 02:50:00",13752,18707.376240079368,28310
"2021-05-23 03:00:00",13724,18693.339378306882,28077
"2021-05-23 03:10:00",13718,18678.0572296627,28568
"2021-05-23 03:20:00",13764,18661.61766975309,28256
"2021-05-23 03:30:00",13718,18643.991151147962,27330
"2021-05-23 03:40:00",13611,18625.460621541086,27820
"2021-05-23 03:50:00",13619,18606.17935819004,27871
"2021-05-23 04:00:00",13573,18585.3975587771,27707
"2021-05-23 04:10:00",13578,18563.613184799386,27487
"2021-05-23 04:20:00",13484,18540.297408609913,26540
"2021-05-23 04:30:00",13387,18516.25119266457,27055
"2021-05-23 04:40:00",13305,18492.490864355004,25541
"2021-05-23 04:50:00",13264,18468.632667824077,26094
"2021-05-23 05:00:00",13136,18443.52159749035,25477
"2021-05-23 05:10:00",13011,18418.769551555393,25078
"2021-05-23 05:20:00",12919,18393.919160604055,24471
"2021-05-23 05:30:00",12878,18368.492514054233,24307
"2021-05-23 05:40:00",12740,18342.66435319611,23636
"2021-05-23 05:50:00",12724,18316.91344147612,22477
"2021-05-23 06:00:00",12625,18290.387321005597,22202
"2021-05-23 06:10:00",12573,18264.10441155102,22349
"2021-05-23 06:20:00",12550,18237.381492504403,22480
"2021-05-23 06:30:00",12534,18210.87041440216,35361
"2021-05-23 06:40:00",12509,18184.59509122058,34682
"2021-05-23 06:50:00",12539,18158.75399581128,32036
"2021-05-23 07:00:00",12538,18132.383462908965,25615
"2021-05-23 07:10:00",12653,18106.47684992283,26297
"2021-05-23 07:20:00",12750,18079.695900119295,26281
"2021-05-23 07:30:00",12950,18053.410046550664,26300
"2021-05-23 07:40:00",13074,18027.044235736743,26799
"2021-05-23 07:50:00",13323,18001.16193599353,27010
"2021-05-23 08:00:00",13519,17974.929076479075,27258
"2021-05-23 08:10:00",13822,17948.82620582956,28795
"2021-05-23 08:20:00",14052,17922.087922352177,29756
"2021-05-23 08:30:00",14297,17895.642612690433,29294
"2021-05-23 08:40:00",14509,17868.901974411867,21940
"2021-05-23 08:50:00",14862,17842.417358355382,22745
"2021-05-23 09:00:00",15180,17815.18219002082,25274
"2021-05-23 09:10:00",15464,17787.082213039415,25972
"2021-05-23 09:20:00",15867,17759.13696971845,29773
"2021-05-23 09:30:00",16193,17730.712565104175,29394
"2021-05-23 09:40:00",16481,17701.794293515133,30752
"2021-05-23 09:50:00",16766,17673.044682940526,31391
"2021-05-23 10:00:00",17159,17644.07673870233,33758
"2021-05-23 10:10:00",17477,17614.391596800764,34090
"2021-05-23 10:20:00",17824,17584.662350950854,33550
"2021-05-23 10:30:00",18189,17555.173418603557,37800
"2021-05-23 10:40:00",18444,17525.565921959227,39891
"2021-05-23 10:50:00",18728,17496.166645998685,41029
"2021-05-23 11:00:00",19100,17467.423339312896,42477
"2021-05-23 11:10:00",19359,17437.537152107467,43794
"2021-05-23 11:20:00",19706,17407.89878251764,44455
"2021-05-23 11:30:00",19851,17378.04756465818,45813
"2021-05-23 11:40:00",20135,17349.193257690287,38577
"2021-05-23 11:50:00",20421,17320.598201566958,40312
"2021-05-23 12:00:00",20704,17292.214969589288,38412
"2021-05-23 12:10:00",20875,17264.689562665353,39664
