"DateTime","Players","Players Trend","Twitch Viewers"
"2021-05-22 23:00:00",19974,16290.145833333325,6666
"2021-05-22 23:10:00",19984,16302.720169201933,6871
"2021-05-22 23:20:00",19934,16313.826251102286,7075
"2021-05-22 23:30:00",19787,16324.592923280417,7123
"2021-05-22 23:40:00",19623,16334.879232804227,7165
"2021-05-22 23:50:00",19497,16345.725825341708,7380
"2021-05-23 00:00:00",19315,16356.675193688585,8220
"2021-05-23 00:10:00",19221,16367.737557870365,8311
"2021-05-23 00:20:00",19132,16379.228505291,8506
"2021-05-23 00:30:00",19064,16391.111383928568,8661
"2021-05-23 00:40:00",18904,16403.035004058438,8310
"2021-05-23 00:50:00",18877,16416.066392471337,8492
"2021-05-23 01:00:00",18735,16429.13097145909,8633
"2021-05-23 01:10:00",18742,16443.05712435437,9105
"2021-05-23 01:20:00",18825,16456.982870370368,8987
"2021-05-23 01:30:00",18861,16470.47003141534,9251
"2021-05-23 01:40:00",18877,16484.58223104056,8719
"2021-05-23 01:50:00",19024,16499.031346450614,8851
"2021-05-23 02:00:00",19150,16512.81650741436,8253
"2021-05-23 02:10:00",19303,16525.598711695322,8331
"2021-05-23 02:20:00",19404,16536.720793178374,8477
"2021-05-23 02:30:00",19510,16547.328927293765,6814
"2021-05-23 02:40:00",19677,16557.24559921593,7484
"2021-05-23 02:50:00",19767,16564.37869268077,7368
"2021-05-23 03:00:00",19839,16569.960608465604,7632
"2021-05-23 03:10:00",19892,16573.07080853174,7718
"2021-05-23 03:20:00",19875,16573.690742577888,7958
"2021-05-23 03:30:00",19874,16572.59998582766,7870
"2021-05-23 03:40:00",19836,16569.26858503618,7845
"2021-05-23 03:50:00",19775,16564.591535769396,6355
"2021-05-23 04:00:00",19637,16557.13084037378,6353
"2021-05-23 04:10:00",19394,16547.856760499337,6456
"2021-05-23 04:20:00",19164,16536.95409451659,6545
"2021-05-23 04:30:00",18921,16525.435119533922,6627
"2021-05-23 04:40:00",18581,16511.784482079864,4445
"2021-05-23 04:50:00",18303,16497.219859182092,4646
"2021-05-23 05:00:00",17931,16480.366373069497,4377
"2021-05-23 05:10:00",17463,16462.60169484765,4570
"2021-05-23 05:20:00",16997,16444.27599821089,4620
"2021-05-23 05:30:00",16593,16425.04845816799,4743
"2021-05-23 05:40:00",16032,16404.60156955736,4405
"2021-05-23 05:50:00",15524,16383.84086041824,4485
"2021-05-23 06:00:00",15039,16362.541357127475,4486
"2021-05-23 06:10:00",14396,16340.569653003242,4614
"2021-05-23 06:20:00",13818,16319.104117063489,4550
"2021-05-23 06:30:00",13195,16297.871765010348,4420
"2021-05-23 06:40:00",12678,16277.038738554913,4236
"2021-05-23 06:50:00",12200,16256.070470954583,4375
"2021-05-23 07:00:00",11814,16235.95462153115,4224
"2021-05-23 07:10:00",11321,16215.863119212956,4148
"2021-05-23 07:20:00",11003,16196.030415985831,3779
